l [m];Ethane;Propene;Propane;Hydrogen;Ethylene;T [K];"""C2H6 --> C2H4 + H2"" rate";"""C3H8 --> C2H6 + H2"" rate"
0.25;0.640947696;0.0194;0.16073628;0.0992;0.0797;1165.570932;0.025;0.0061
0.75;0.593516484;0.0253;0.148929466;0.128777032;0.103461891;1127.720059;0.00856;0.00212
1.25;0.569149696;0.0284;0.142834452;0.144007932;0.115643958;1107.038142;0.00462;0.00115
1.75;0.553584065;0.0303;0.138927991;0.153744003;0.123420733;1093.351015;0.00304;0.000763
2.25;0.54243438;0.0317;0.136122783;0.160721449;0.128988461;1083.308793;0.00222;0.00056
2.75;0.533872046;0.0328;0.133964279;0.166081879;0.133262451;1075.455154;0.00173;0.000437
3.25;0.526984547;0.0337;0.132225143;0.170395204;0.13669929;1069.046876;0.00141;0.000357
3.75;0.521258589;0.0344;0.13077729;0.173982115;0.13955572;1063.656271;0.00118;0.0003
4.25;0.516379997;0.035;0.129542209;0.177038956;0.141988839;1059.017395;0.00101;0.000258
4.75;0.512143893;0.0356;0.128468639;0.179693796;0.144101071;1054.954548;0.000887;0.000226
5.25;0.508409997;0.0361;0.127521442;0.182034344;0.145962529;1051.345899;0.000786;0.000201
5.75;0.505078303;0.0365;0.126675546;0.184123139;0.147623186;1048.104153;0.000705;0.00018
6.25;0.502075302;0.0369;0.125912505;0.18600616;0.14911977;1045.164404;0.000639;0.000164
6.75;0.499345485;0.0372;0.125218379;0.187718133;0.15048001;1042.477273;0.000583;0.00015
7.25;0.496845985;0.0376;0.124582394;0.189285875;0.151725315;1040.004373;0.000536;0.000138
7.75;0.494543077;0.0379;0.123996068;0.190730492;0.15287253;1037.715368;0.000496;0.000127
8.25;0.492409683;0.0381;0.123452587;0.192068928;0.153935174;1035.586457;0.000461;0.000119
8.75;0.490423953;0.0384;0.12294645;0.193314862;0.154924158;1033.596179;0.00043;0.000111
9.25;0.488567864;0.0386;0.122473116;0.194479573;0.155848478;1031.728815;0.000403;0.000104
9.75;0.48682643;0.0389;0.122028808;0.195572444;0.156715615;1029.970593;0.000379;0.0000978
